Reactor name,Reactor type,Fuel type,Estimated burnup,e. U235,SFCompo sample ref,Measurement type,Sample identifier,Item,Z,A,I,Value,Unit,Concentration,Concentration Unit,Sigma,Uncertainty
Balakovo-2,VVER-1000,UO2,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,15,Am241,95,241,0,0.048,mg/gUi,0.048,mg/gUi,2,4.17 %
Balakovo-2,VVER-1000,UO2,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,15,Am243,95,243,0,0.141,mg/gUi,0.141,mg/gUi,2,2.84 %
Balakovo-2,VVER-1000,UO2,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,15,Cm242,96,242,0,0.021,mg/gUi,0.021,mg/gUi,2,9.52 %
Balakovo-2,VVER-1000,UO2,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,15,Cm244,96,244,0,0.055,mg/gUi,0.055,mg/gUi,2,10.91 %
Balakovo-2,VVER-1000,UO2,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,15,Nd142,60,142,0,0.033,mg/gUi,0.033,mg/gUi,2,3.03 %
Balakovo-2,VVER-1000,UO2,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,15,Nd143,60,143,0,1.053,mg/gUi,1.053,mg/gUi,2,0.76 %
Balakovo-2,VVER-1000,UO2,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,15,Nd144,60,144,0,1.761,mg/gUi,1.761,mg/gUi,2,0.62 %
Balakovo-2,VVER-1000,UO2,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,15,Nd145,60,145,0,0.889,mg/gUi,0.889,mg/gUi,2,0.67 %
Balakovo-2,VVER-1000,UO2,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,15,Nd146,60,146,0,0.948,mg/gUi,0.948,mg/gUi,2,0.63 %
Balakovo-2,VVER-1000,UO2,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,15,Pu238,94,238,0,0.3,mg/gUi,0.3,mg/gUi,2,3.33 %
