Reactor name,Reactor type,Estimated burnup,e. U235,SFCompo sample ref,Measurement type,Sample identifier,Item,Z,A,I,Value,Unit,Concentration,Concentration Unit,Sigma,Uncertainty
Cooper-1,BWR,33.07 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|K,Activity,K,Sr90,38,90,0,0.0551,Ci/gHMi,0.3989,mg/gUi,1,5.7 %
Cooper-1,BWR,33.07 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|K,Activity,K,Tc99,43,99,0,0.0000117,Ci/gHMi,0.6833,mg/gUi,1,3.5 %
Cooper-1,BWR,33.07 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|K,Isotopic Concentration,K,Pu238,94,238,0,0.000198,g/gHMi,0.198,mg/gUi,1,1.6 %
Cooper-1,BWR,33.07 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|K,Isotopic Concentration,K,Pu239,94,239,0,0.00406,g/gHMi,4.06,mg/gUi,1,1.6 %
Cooper-1,BWR,33.07 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|K,Isotopic Concentration,K,Pu240,94,240,0,0.00251,g/gHMi,2.51,mg/gUi,1,1.6 %
Cooper-1,BWR,33.07 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|K,Isotopic Concentration,K,Pu241,94,241,0,0.000725,g/gHMi,0.725,mg/gUi,1,1.6 %
Cooper-1,BWR,33.07 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|K,Isotopic Concentration,K,Pu242,94,242,0,0.0005,g/gHMi,0.5,mg/gUi,1,1.6 %
Cooper-1,BWR,33.07 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|K,Isotopic Concentration,K,U234,92,234,0,0.000153,g/gHMi,0.153,mg/gUi,1,1.6 %
Cooper-1,BWR,33.07 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|K,Isotopic Concentration,K,U235,92,235,0,0.00606,g/gHMi,6.06,mg/gUi,1,1.6 %
Cooper-1,BWR,33.07 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|K,Isotopic Concentration,K,U236,92,236,0,0.004,g/gHMi,4,mg/gUi,1,1.6 %
Cooper-1,BWR,33.07 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|K,Isotopic Concentration,K,U238,92,238,0,0.947,g/gHMi,947,mg/gUi,1,1.6 %
Cooper-1,BWR,33.07 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|K,Other,K,Ci(cm243+cm244)/gHMi,,,,0.00164,,,,1,4.1 %
Cooper-1,BWR,31.75 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|N,Activity,N,I129,53,129,0,2.01E-8,Ci/gUi,0.1138,mg/gUi,1,2.8 %
Cooper-1,BWR,31.81 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|O,Activity,O,C14,6,14,0,5.21E-7,Ci/gUi,0.0001163,mg/gUi,1,5.6 %
Cooper-1,BWR,33.94 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|T,Activity,T,Am241,95,241,0,0.00095,Ci/gHMi,0.2771,mg/gUi,1,4.9 %
Cooper-1,BWR,33.94 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|T,Activity,T,Cs135,55,135,0,4.86E-7,Ci/gHMi,0.4218,mg/gUi,1,14 %
Cooper-1,BWR,33.94 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|T,Activity,T,Cs137,55,137,0,0.0873,Ci/gHMi,1.006,mg/gUi,1,3.5 %
Cooper-1,BWR,33.94 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|T,Activity,T,Np237,93,237,0,2.79E-7,Ci/gHMi,0.3966,mg/gUi,1,1.9 %
Cooper-1,BWR,33.94 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|T,Activity,T,Se79,34,79,0,5.62E-8,Ci/gHMi,0.004156,mg/gUi,1,4.9 %
Cooper-1,BWR,33.94 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|T,Activity,T,Sn126,50,126,0,1.81E-7,Ci/gHMi,0.01466,mg/gUi,1,10.2 %
Cooper-1,BWR,33.94 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|T,Activity,T,Sr90,38,90,0,0.0577,Ci/gHMi,0.4177,mg/gUi,1,5.7 %
Cooper-1,BWR,33.94 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|T,Activity,T,Tc99,43,99,0,0.000012,Ci/gHMi,0.7008,mg/gUi,1,3.5 %
Cooper-1,BWR,33.94 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|T,Isotopic Concentration,T,Pu238,94,238,0,0.000193,g/gHMi,0.193,mg/gUi,1,1.6 %
Cooper-1,BWR,33.94 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|T,Isotopic Concentration,T,Pu239,94,239,0,0.00378,g/gHMi,3.78,mg/gUi,1,1.6 %
Cooper-1,BWR,33.94 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|T,Isotopic Concentration,T,Pu240,94,240,0,0.00248,g/gHMi,2.48,mg/gUi,1,1.6 %
Cooper-1,BWR,33.94 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|T,Isotopic Concentration,T,Pu241,94,241,0,0.000703,g/gHMi,0.703,mg/gUi,1,1.6 %
Cooper-1,BWR,33.94 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|T,Isotopic Concentration,T,Pu242,94,242,0,0.000537,g/gHMi,0.537,mg/gUi,1,1.6 %
Cooper-1,BWR,33.94 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|T,Isotopic Concentration,T,U234,92,234,0,0.000163,g/gHMi,0.163,mg/gUi,1,1.6 %
Cooper-1,BWR,33.94 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|T,Isotopic Concentration,T,U235,92,235,0,0.00548,g/gHMi,5.48,mg/gUi,1,1.6 %
Cooper-1,BWR,33.94 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|T,Isotopic Concentration,T,U236,92,236,0,0.00411,g/gHMi,4.11,mg/gUi,1,1.6 %
Cooper-1,BWR,33.94 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|T,Isotopic Concentration,T,U238,92,238,0,0.952,g/gHMi,952,mg/gUi,1,1.6 %
Cooper-1,BWR,33.94 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|T,Other,T,Ci(cm243+cm244)/gHMi,,,,0.0017,,,,1,4.1 %
Cooper-1,BWR,34.45 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|X,Activity,X,I129,53,129,0,2.4E-8,Ci/gUi,0.1359,mg/gUi,1,2.8 %
Cooper-1,BWR,34.33 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2966|Y,Activity,Y,C14,6,14,0,3.8E-7,Ci/gUi,0.00008484,mg/gUi,1,5.6 %
Cooper-1,BWR,17.84 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|B,Activity,B,Am241,95,241,0,0.000593,Ci/gHMi,0.1730,mg/gUi,1,4.9 %
Cooper-1,BWR,17.84 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|B,Activity,B,Cs135,55,135,0,4.34E-7,Ci/gHMi,0.3767,mg/gUi,1,14 %
Cooper-1,BWR,17.84 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|B,Activity,B,Cs137,55,137,0,0.0459,Ci/gHMi,0.5287,mg/gUi,1,3.5 %
Cooper-1,BWR,17.84 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|B,Activity,B,Np237,93,237,0,1.24E-7,Ci/gHMi,0.1763,mg/gUi,1,1.9 %
Cooper-1,BWR,17.84 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|B,Activity,B,Se79,34,79,0,3.06E-8,Ci/gHMi,0.002263,mg/gUi,1,4.9 %
Cooper-1,BWR,17.84 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|B,Activity,B,Sn126,50,126,0,8.32E-8,Ci/gHMi,0.006739,mg/gUi,1,10.2 %
Cooper-1,BWR,17.84 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|B,Activity,B,Sr90,38,90,0,0.0331,Ci/gHMi,0.2396,mg/gUi,1,5.7 %
Cooper-1,BWR,17.84 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|B,Activity,B,Tc99,43,99,0,0.000007,Ci/gHMi,0.4088,mg/gUi,1,3.5 %
Cooper-1,BWR,17.84 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|B,Isotopic Concentration,B,Pu238,94,238,0,0.0000591,g/gHMi,0.0591,mg/gUi,1,1.6 %
Cooper-1,BWR,17.84 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|B,Isotopic Concentration,B,Pu239,94,239,0,0.0046,g/gHMi,4.6,mg/gUi,1,1.6 %
Cooper-1,BWR,17.84 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|B,Isotopic Concentration,B,Pu240,94,240,0,0.00134,g/gHMi,1.34,mg/gUi,1,1.6 %
